date,total_amount,total_encrypted_amount,account_count,baker_count
2021-06-09,10001958234.60791,0.0,122,12
2021-06-10,10004570551.397852,0.0,320,12
2021-06-11,10007183134.614077,0.0,418,12
2021-06-12,10009795386.6268,0.0,469,12
2021-06-13,10012409659.54794,0.0,506,12
2021-06-14,10015025720.02708,0.0,538,12
2021-06-15,10017641358.962154,0.0,563,12
2021-06-16,10020257249.482206,0.0,590,10
2021-06-17,10022874148.722292,0.0,603,10
2021-06-18,10025491723.819233,0.0,649,10
2021-06-19,10028109959.791733,0.0,691,10
2021-06-20,10030728917.431614,0.0,728,10
2021-06-21,10033348384.682997,0.0,762,10
2021-06-22,10035967777.709166,0.0,807,10
2021-06-23,10038589424.634752,0.0,868,10
2021-06-24,10041210527.33849,0.0,925,10
2021-06-25,10043833756.288052,0.0,956,10
2021-06-26,10046456440.84238,0.0,988,10
2021-06-27,10049080615.07357,0.0,1018,10
2021-06-28,10051704897.549911,0.0,1054,10
2021-06-29,10054330184.410522,0.0,1090,10
2021-06-30,10056955792.201546,0.0,1126,10
2021-07-01,10059582245.263409,0.0,1176,10
2021-07-02,10062209270.204147,0.0,1211,10
2021-07-03,10064837095.253168,0.0,1239,10
2021-07-04,10067464769.849184,0.0,1272,10
2021-07-05,10070094697.841389,0.0,1323,10
2021-07-06,10072724970.373217,0.0,1367,10
2021-07-07,10075355397.040749,0.0,1419,10
2021-07-08,10077986327.877062,0.0,1462,10
2021-07-09,10080618334.161612,0.0,1509,10
2021-07-10,10083250997.356968,0.0,1524,10
2021-07-11,10085884668.164371,0.0,1529,10
2021-07-12,10088518653.362465,0.0,1539,10
2021-07-13,10091153417.934994,0.0,1553,10
2021-07-14,10093788229.98661,0.0,1571,10
2021-07-15,10096424759.84094,0.0,1577,10
2021-07-16,10099061230.57518,0.0,1591,10
2021-07-17,10101698969.839151,0.0,1595,10
2021-07-18,10104336924.70639,0.0,1599,10
2021-07-19,10106975751.72428,0.0,1613,10
2021-07-20,10109614801.944984,0.0,1628,10
2021-07-21,10112255419.908049,0.0,1651,10
2021-07-22,10114896307.26085,0.0,1665,10
2021-07-23,10117537754.344175,0.0,1675,10
2021-07-24,10120180434.125544,0.0,1683,10
2021-07-25,10122822962.838163,0.0,1690,10
2021-07-26,10125467007.80416,0.0,1702,10
2021-07-27,10128110809.784958,0.0,1710,10
2021-07-28,10130756496.16928,0.0,1716,10
2021-07-29,10133402207.553469,0.0,1727,10
2021-07-30,10136048548.614365,0.0,1734,10
2021-07-31,10138695779.939968,0.0,1736,10
2021-08-01,10141343442.119322,0.0,1742,10
2021-08-02,10143991826.378325,0.0,1749,10
2021-08-03,10146640733.593554,0.0,1757,10
2021-08-04,10149290969.002182,0.0,1764,10
2021-08-05,10151941336.690756,0.0,1769,10
2021-08-06,10154592833.822409,0.0,1778,10
2021-08-07,10157244770.217922,0.0,1782,10
2021-08-08,10159897468.271814,0.0,1790,10
2021-08-09,10162550613.401302,0.0,1800,10
2021-08-10,10165204912.199656,0.0,1803,10
2021-08-11,10167859474.03961,0.0,1810,10
2021-08-12,10170514998.0547,0.0,1818,10
2021-08-13,10173170961.954144,0.0,1818,10
2021-08-14,10175827588.68731,0.0,1821,10
2021-08-15,10178485409.057222,0.0,1823,10
2021-08-16,10181143331.297367,0.0,1825,11
2021-08-17,10183802109.189869,0.0,1828,11
2021-08-18,10186461935.456287,0.0,1835,11
2021-08-19,10189122333.244658,0.0,1837,11
2021-08-20,10191783341.142754,0.0,1850,11
2021-08-21,10194443880.904491,0.0,1852,11
2021-08-22,10197107064.45516,0.0,1854,11
2021-08-23,10199770296.377789,0.0,1858,11
2021-08-24,10202434085.115591,0.0,1861,11
2021-08-25,10205098353.635233,0.0,1863,11
2021-08-26,10207763626.409023,0.0,1867,11
2021-08-27,10210429263.543749,0.0,1869,11
2021-08-28,10213095643.078257,0.0,1873,11
2021-08-29,10215762811.542791,0.0,1879,11
